"host","quantity"
"harber.com",10
"gerhold.com",6
"tromp.com",8
"nolan.net",13
"herman.net",9
"lakin.com",14
"skiles.com",16
"oberbrunner.com",13
"von.info",13
"steuber.net",9
"hill.com",16
"runolfsdottir.com",9
"parker.com",15
"abernathy.com",9
"hodkiewicz.com",10
"kshlerin.com",12
"wilderman.com",11
"dare.com",7
"grimes.org",5
"bahringer.biz",4
"hudson.biz",4
"little.info",6
"predovic.net",8
"hoppe.com",11
"willms.com",8
"hermann.org",8
"weissnat.org",4
"okon.info",8
"kessler.com",8
"gerlach.com",5
"white.com",11
"robel.com",14
"sanford.info",6
"mraz.com",7
"watsica.net",3
"bauch.com",11
"macejkovic.com",12
"moore.com",5
"cummings.info",5
"roberts.org",10
"roberts.com",13
"graham.com",14
"toy.com",8
"tromp.net",15
"kovacek.biz",8
"vandervort.com",10
"stehr.com",13
"parker.com",10
"muller.com",11
"schowalter.com",10
"bergstrom.com",16
"wisoky.com",4
"leannon.com",19
"hyatt.com",17
"spencer.com",8
"hermiston.com",16
"howell.info",7
"cronin.biz",5
"johnson.com",10
"volkman.com",12
"grimes.net",2
"carroll.com",5
"haag.info",8
"nikolaus.com",11
"tillman.org",6
"weimann.org",9
"lehner.com",9
"harvey.com",5
"schaefer.biz",7
"orn.com",8
"johnson.com",14
"mills.com",7
"schmeler.info",9
"prohaska.com",6
"bernhard.com",8
"hoeger.net",14
"hill.com",13
"bauch.com",8
"gleason.info",4
"rodriguez.net",8
"ernser.com",8
"jacobs.net",4
"bednar.biz",14
"kuhic.com",9
"swaniawski.com",4
"labadie.biz",4
"wisoky.com",10
"bosco.com",6
"fadel.com",9
"cassin.com",9
"johnston.com",12
"grant.com",6
"grimes.com",7
"collier.com",11
"dicki.info",8
"murray.info",9
"quigley.com",10
"sipes.biz",8
"deckow.com",7
"carter.com",10
"ankunding.com",7
"herman.net",9
"boehm.biz",12
"jenkins.info",12
"adams.com",15
"quitzon.com",10
"zemlak.com",9
"parker.com",8
